"Hugo_Symbol"	"Frame_Shift_Del"	"Frame_Shift_Ins"	"In_Frame_Del"	"In_Frame_Ins"	"Missense_Mutation"	"Nonsense_Mutation"	"Nonstop_Mutation"	"Splice_Site"	"Translation_Start_Site"	"total"	"MutatedSamples"	"AlteredSamples"
"FAM102A"	0	0	0	0	1	1	0	0	0	2	1	1
"FAM186A"	0	0	0	0	2	0	0	0	0	2	1	1
"FAM73B"	0	0	0	0	2	0	0	0	0	2	1	1
"FMO5"	0	0	0	0	2	0	0	0	0	2	1	1
"FOXA1"	0	0	0	0	2	0	0	0	0	2	1	1
"KIF13A"	0	0	0	0	2	0	0	0	0	2	1	1
"LCE2A"	1	0	0	0	1	0	0	0	0	2	1	1
"LRP1B"	0	0	0	0	2	0	0	0	0	2	1	1
"LRRC7"	0	0	0	0	2	0	0	0	0	2	1	1
"MAN2A1"	0	0	0	0	2	0	0	0	0	2	1	1
"MROH5"	0	0	0	0	2	0	0	0	0	2	1	1
"MROH8"	0	0	0	0	1	0	0	1	0	2	1	1
"MTA3"	0	0	0	0	2	0	0	0	0	2	1	1
"MUC15"	0	0	0	1	0	1	0	0	0	2	1	1
"NARS2"	0	2	0	0	0	0	0	0	0	2	1	1
"NBPF12"	0	0	0	0	2	0	0	0	0	2	1	1
"NTN4"	0	0	0	0	2	0	0	0	0	2	1	1
"PANK4"	0	0	0	0	2	0	0	0	0	2	1	1
"PLCH1"	0	0	0	0	2	0	0	0	0	2	1	1
"PLEK2"	2	0	0	0	0	0	0	0	0	2	1	1
"PLEKHH2"	0	0	0	0	2	0	0	0	0	2	1	1
"PPP4R4"	0	0	0	0	2	0	0	0	0	2	1	1
"PREP"	0	0	0	0	2	0	0	0	0	2	1	1
"PSME4"	0	0	0	0	2	0	0	0	0	2	1	1
"PTPDC1"	0	0	0	0	1	1	0	0	0	2	1	1
"PTPRD"	0	0	0	0	1	1	0	0	0	2	1	1
"RB1"	0	0	0	0	1	1	0	0	0	2	1	1
"RFWD2"	0	0	0	0	2	0	0	0	0	2	1	1
"SAMD9L"	0	0	0	0	2	0	0	0	0	2	1	1
"SHROOM4"	0	0	0	0	2	0	0	0	0	2	1	1
"SLC8A3"	0	0	0	0	2	0	0	0	0	2	1	1
"SLITRK4"	0	0	0	0	1	1	0	0	0	2	1	1
"SOGA3"	0	0	0	0	2	0	0	0	0	2	1	1
"SRCAP"	0	0	0	0	0	2	0	0	0	2	1	1
"STON1"	0	0	0	0	1	1	0	0	0	2	1	1
"TMEM126A"	1	0	0	0	1	0	0	0	0	2	1	1
"TPCN2"	0	0	0	0	0	2	0	0	0	2	1	1
"TRMT10B"	0	0	0	0	2	0	0	0	0	2	1	1
"TSSC4"	0	0	0	0	2	0	0	0	0	2	1	1
"USP7"	0	0	0	0	2	0	0	0	0	2	1	1
"ZCCHC13"	0	0	0	0	0	2	0	0	0	2	1	1
"A2M"	0	0	0	0	1	0	0	0	0	1	1	1
"A2ML1"	0	0	0	0	1	0	0	0	0	1	1	1
"AARS"	0	0	0	0	1	0	0	0	0	1	1	1
"ABCB4"	0	0	0	0	1	0	0	0	0	1	1	1
"ABCB6"	0	0	0	0	1	0	0	0	0	1	1	1
"ABCC3"	0	0	0	0	1	0	0	0	0	1	1	1
"ABCC6"	0	0	0	0	1	0	0	0	0	1	1	1
"ABCD2"	0	0	0	0	1	0	0	0	0	1	1	1
"ABCF1"	0	0	0	0	1	0	0	0	0	1	1	1
"ABCF3"	0	0	0	0	1	0	0	0	0	1	1	1
"ABCG2"	0	0	0	0	1	0	0	0	0	1	1	1
"ABHD4"	0	0	0	0	0	0	0	1	0	1	1	1
"AC104809.3"	0	0	0	0	1	0	0	0	0	1	1	1
"ACAN"	0	0	0	0	1	0	0	0	0	1	1	1
"ACAP1"	0	0	0	0	1	0	0	0	0	1	1	1
"ACAT1"	0	0	0	0	1	0	0	0	0	1	1	1
"ACBD5"	0	0	0	0	1	0	0	0	0	1	1	1
"ACIN1"	0	0	0	0	1	0	0	0	0	1	1	1
"ACKR3"	0	0	0	0	1	0	0	0	0	1	1	1
"ACKR4"	0	0	0	0	1	0	0	0	0	1	1	1
"ACPP"	0	0	0	0	1	0	0	0	0	1	1	1
"ACRBP"	0	0	0	0	1	0	0	0	0	1	1	1
"ACRC"	0	0	0	0	1	0	0	0	0	1	1	1
"ACSL4"	0	0	0	0	1	0	0	0	0	1	1	1
"ACSM1"	0	0	0	0	1	0	0	0	0	1	1	1
"ACSM3"	0	0	0	0	1	0	0	0	0	1	1	1
"ACTBL2"	0	0	0	0	1	0	0	0	0	1	1	1
"ACTR3B"	0	0	0	0	1	0	0	0	0	1	1	1
"ACVR1B"	0	0	0	0	1	0	0	0	0	1	1	1
"ACVR1C"	0	0	0	0	1	0	0	0	0	1	1	1
"ACVR2A"	1	0	0	0	0	0	0	0	0	1	1	1
"ADAM32"	0	0	0	0	1	0	0	0	0	1	1	1
"ADAM33"	0	0	0	0	1	0	0	0	0	1	1	1
"ADAMTS1"	0	0	0	0	1	0	0	0	0	1	1	1
"ADAMTS13"	0	0	0	0	1	0	0	0	0	1	1	1
"ADAMTS17"	0	0	0	0	1	0	0	0	0	1	1	1
"ADAMTS3"	0	0	0	0	1	0	0	0	0	1	1	1
"ADAMTS7"	0	0	0	0	1	0	0	0	0	1	1	1
"ADAMTS9"	0	0	0	0	1	0	0	0	0	1	1	1
"ADAT2"	0	0	0	0	1	0	0	0	0	1	1	1
"ADCK2"	0	0	0	0	0	1	0	0	0	1	1	1
"ADCK3"	0	0	0	0	1	0	0	0	0	1	1	1
"ADCY1"	0	0	0	0	1	0	0	0	0	1	1	1
